SNo,ScripCode,NameOfCompany
449,500125,"E.I.D. Parry (India) Ltd.,"
450,500878,"Ceat Ltd.,"
451,500380,JK Lakshmi Cement Limited
452,531335,Zydus Wellness Limited
453,540743,Godrej Agrovet Limited
454,539150,PNC Infratech Limited
455,532798,Network 18 Media & Investments Limited
456,533160,VALOR ESTATE LIMITED
457,532482,Granules India Ltd.
458,532734,GODAWARI POWER AND ISPAT LTD.
459,544046,INOX India Limited
460,543228,Route Mobile Limited
461,532670,Shree Renuka Sugars Ltd.
462,543720,KFin Technologies Limited
463,543398,Latent View Analytics Limited
464,504882,National Standard (India) Limited
465,543276,Craftsman Automation Limited
466,522205,Praj Industries Ltd.
467,517146,Usha Martin Ltd.
468,543573,Syrma SGS Technology Limited
469,532939,Reliance Power Limited
470,534618,WAAREE RENEWABLE TECHNOLOGIES LIMITED
471,542011,Garden Reach Shipbuilders & Engineers Limited
472,539006,PTC Industries Ltd.
473,523025,"Safari Industries (India) Ltd.,"
474,533095,Bengal & Assam Company Limited
475,500106,IFCI Ltd.
476,543482,Eureka Forbes Limited
477,540935,Galaxy Surfactants Limited
478,538962,Minda Corporation Limited
479,543959,SBFC Finance Limited
480,500690,Gujarat State Fertilizers & Chem.Ltd
481,544045,DOMS Industries Limited
482,543322,Glenmark Life Sciences Limited
483,543397,Sapphire Foods India Limited
484,532800,TV18 Broadcast Ltd.
485,544057,Happy Forgings Limited
486,523598,Shipping Corporation Of India Ltd
487,532313,Mahindra Lifespace Developers Ltd.
488,532468,Kama Holdings Limited
489,523405,JM Financial Limited
490,500128,"Electrosteel Castings Ltd.,"
491,530019,JUBILANT PHARMOVA LIMITED
492,500338,PRISM JOHNSON LIMITED.
493,500266,"Maharashtra Scooters Ltd.,"
494,543427,Medplus Health Services Limited
495,543417,RateGain Travel Technologies Limited
496,500390,Reliance Infrastructure Ltd
497,500133,Esab India Ltd.
498,542650,Metropolis Healthcare Limited
499,533248,Gujarat Pipavav Port Limited
500,500126,PROCTER & GAMBLE HEALTH LIMITED
501,543965,TVS Supply Chain Solutions Limited
502,542141,Techno Electric & Engineering Company Limited
503,519600,CCL Products (India) Ltd.
504,524226,Gujarat Ambuja Exports Ltd.
505,532652,Karnataka Bank Ltd.
